No.,Location,County,Elev (m),Date,Name or Citation,Sex,Age,Repro,Zone,Easting,Northing
1,Murray Cabin,Archuleta,2256,7/9/97,BIMP,F,A,P,13,334148,4112610
2,Murray Cabin,Archuleta,2256,7/9/97,BIMP,F,A,,13,334148,4112610
3,Murray Cabin,Archuleta,2256,7/9/97,BIMP,F,A,P,13,334148,4112610
4,Murray Cabin,Archuleta,2256,7/9/97,BIMP,F,A,P,13,334148,4112610
5,Murray Cabin,Archuleta,2256,7/9/97,BIMP,U,,,13,334148,4112610
6,Murray Cabin,Archuleta,2256,7/9/97,BIMP,U,,,13,334148,4112610
7,Murray Cabin,Archuleta,2256,10/3/97,BIMP,M,,,13,334148,4112610
8,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
9,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
10,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
11,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
12,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
13,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
14,Murray Cabin,Archuleta,2256,5/27/09,Hayes,F,A,UNK,13,334148,4112610
15,Skull Mine,Baca,1409,9/14/77,Ellinwood,U,,,13,673713,4104862
16,Skull Mine,Baca,1409,9/14/77,Ellinwood,U,,,13,673713,4104862
17,Skull Mine,Baca,1409,9/21/01,Navo,F,A,PL,13,673713,4104862
18,Skull Mine,Baca,1409,7/23/07,"Hayes, Navo, Bonewell",F,J,,13,673713,4104862
19,Skull Mine,Baca,1409,7/23/07,"Hayes, Navo, Bonewell",M,J,,13,673713,4104862
20,Skull Mine,Baca,1409,7/23/07,"Hayes, Navo, Bonewell",M,J,,13,673713,4104862
21,Skull Mine,Baca,1409,9/6/09,"Hayes, Bonewell",,,~75 MYTH,13,673713,4104862
22,2nd Flatiron,Boulder,1951,,Adams,F,,,13,475190,4426510
23,Abbey Pond,Boulder,1789,7/8/95,Adams,F,A,P,13,477520,4423780
24,Abbey Pond,Boulder,1789,8/26/95,Adams,M,A,ND,13,477520,4423780
25,Abbey Pond,Boulder,1789,8/1/96,Adams,M,A,S,13,477520,4423780
26,Abbey Pond,Boulder,1789,8/23/96,Adams,M,J,NS,13,477520,4423780
27,Abbey Pond,Boulder,1789,8/23/96,Adams,M,J,NS,13,477520,4423780
28,Abbey Pond,Boulder,1789,8/12/97,Adams,F,A,L,13,477520,4423780
29,Abbey Pond,Boulder,1789,8/19/98,Adams,F,J,NLNP,13,477520,4423780
30,Abbey Pond,Boulder,1789,8/7/01,Navo/CNHP,M,A,NB,13,477520,4423780
31,Abbey Pond,Boulder,1789,8/7/01,Navo/CNHP,F,A,L,13,477520,4423780
32,Abbey Pond,Boulder,1789,8/8/05,Kiser,F,A,L,13,477520,4423780
33,Abbey Pond,Boulder,1789,8/8/05,Kiser,F,A,L,13,477520,4423780
34,Abbey Pond,Boulder,1789,8/8/05,Kiser,F- SA,A,NL,13,477520,4423780
35,Abbey Pond,Boulder,1789,8/8/05,Kiser,M,A,S,13,477520,4423780
36,Abbey Pond,Boulder,1789,8/8/05,Kiser,F,A,L,13,477520,4423780
37,Bear Creek,Boulder,1883,8/16/95,Adams,F,A,L,13,475761,4424529
38,Bear Creek,Boulder,1883,8/16/95,Adams,F,A,L,13,475761,4424529
39,Bear Creek,Boulder,1883,8/16/95,Adams,F,A,L,13,475761,4424529
40,Bear Creek,Boulder,1883,8/16/95,Adams,M,A,S,13,475761,4424529
41,Bear Creek,Boulder,1883,5/30/96,Adams,F,A,NLNP,13,475761,4424529
42,Bear Creek,Boulder,1883,5/30/96,Adams,F,A,NLNP,13,475761,4424529
43,Bear Creek,Boulder,1883,5/30/96,Adams,M,A,NS,13,475761,4424529
44,Bear Creek,Boulder,1883,7/2/96,Adams,F,A,P,13,475761,4424529
45,Bear Creek,Boulder,1883,7/2/96,Adams,M,A,NS,13,475761,4424529
46,Bear Creek,Boulder,1883,7/16/96,Adams,F,A,L,13,475761,4424529
47,Bear Creek,Boulder,1883,8/11/96,Adams,M,A,A,13,475761,4424529
48,Bear Creek,Boulder,1883,8/11/96,Adams,F,J,NLNP,13,475761,4424529
49,Bear Creek,Boulder,1883,8/11/96,Adams,F,A,L,13,475761,4424529
50,Bear Creek,Boulder,1883,8/11/96,Adams,F,A,NLNP,13,475761,4424529
51,Bear Creek,Boulder,1883,8/11/96,Adams,M,A,S,13,475761,4424529
52,Bear Creek,Boulder,1883,8/11/96,Adams,M,J,NS,13,475761,4424529
53,Bear Creek,Boulder,1883,6/4/97,Adams,F,A,UNK,13,475761,4424529
54,Bear Creek,Boulder,1883,6/4/97,Adams,M,A,NS,13,475761,4424529
55,Bear Creek,Boulder,1883,6/4/97,Adams,F,A,P,13,475761,4424529
56,Bear Creek,Boulder,1883,6/4/97,Adams,F,A,P,13,475761,4424529
57,Bear Creek,Boulder,1883,6/4/97,Adams,F,A,P,13,475761,4424529
58,Bear Creek,Boulder,1883,6/4/97,Adams,M,A,NS,13,475761,4424529
59,Bear Creek,Boulder,1883,6/18/97,Adams,M,A,NS,13,475761,4424529
60,Bear Creek,Boulder,1883,6/18/97,Adams,M,A,NS,13,475761,4424529
61,Bear Creek,Boulder,1883,6/18/97,Adams,M,A,NS,13,475761,4424529
62,Bear Creek,Boulder,1883,6/18/97,Adams,F,A,P,13,475761,4424529
63,Bear Creek,Boulder,1883,6/18/97,Adams,UN K,A,UNK,13,475761,4424529
64,Bear Creek,Boulder,1883,7/21/97,Adams,F,A,L,13,475761,4424529
65,Bear Creek,Boulder,1883,7/21/97,Adams,F,A,L,13,475761,4424529
66,Bear Creek,Boulder,1883,7/21/97,Adams,F,A,L,13,475761,4424529
67,Bear Creek,Boulder,1883,8/15/97,Adams,F,A,L,13,475761,4424529
68,Bear Creek,Boulder,1883,8/15/97,Adams,M,J,NS,13,475761,4424529
69,Bear Creek,Boulder,1883,8/15/97,Adams,M,A,NS,13,475761,4424529
70,Bear Creek,Boulder,1883,8/23/97,Adams,F,J,NLNP,13,475761,4424529
